品種名,母,父,不明親,登録年,登録者,メモ,出典
(14×5_2)×8_2,14×5_2,とよのか,,,,,
(リンダモール×Cruz)×女峰,リンダモール×Cruz,女峰,,,,,
(久留米促成3号×宝交早生)×(Donner×宝交早生),久留米促成3号×宝交早生,Donner×宝交早生,,,,,
00_23001,99_02505,98_17123,,,,,
00_24_1,98_28_2,とねほっぺ,,,,,
00_28401,99_03952,98_15504,,,,,
00_4_2,98_4_2,97_4_5,,,,,
01_116,96_15,栃の峰,,,,,
01_1_5,99_8,芳玉,,,,,
01_23_4,アスカルビー,久留米54号,,,,,
02_19,01_116,01_116,,,,,
02_3_4,99_5_2,00_4_2,,,,,
03042_08,不明,不明,,,,"久留米48号，さつまおとめ, さがほのかの多元交配による",
03_1_6,熊研い548(ひのしずく),さがほのか,,,,,
03_61_1,さつまおとめ,sunangel,,,,,
04_5_1,01_23_4,とちおとめ,,,,,
05_2_5,02_3_4,00_4_2,,,,,
05_51_1,03_61_1,とちおとめ,,,,,
06sAB_4e,なつあかり,盛岡30号,,,,,
07_13_1,熊研い548(ひのしずく),03_1_6,,,,,
07_26_3,05_51_1,04_5_1,,,,,
09_48_5,栃木26号,栃木素材2号,,,,,
09_52_1,栃木26号,98_7_3,,,,,
10133_03,かおり野,章姫,,,,,
103Hk_11,久留米103号,宝交早生,,,,,
14×5_16,アイベリー,宝交早生,,,,,
14×5_2,アイベリー,宝交早生,,,,,
15,X_2,アイベリー,,,,,
1_7_9,アスカウェイブ,女峰,,,,,
22_19_1,さちのか,とちおとめ,,,,,
23_1_33,古都華,とちおとめ,,,,,
24_5_C,古都華,かおり野,,,,,
2_8,Fairfax,Ettersburg実生系統,,,,,
2rd generation from Sharpless×Parry,Sharpless×Parry,不明,,,,,
3_31_3,とよのか,濃姫,,,,,
3rd generation from Sharpless×Parry,2rd generation from Sharpless×Parry,不明,,,,,
44_3_5,Donner(ダナー),K_34,,,,,
47_1_12,促成_50号,D_40,,,,,
50_2_2,促成_50号,44_3_5,,,,,
52_1_32,うずしお,47_1_12,,,,,
55/6_996,ベルルージュ,女峰,,,,,
59交13_37,Aiko,盛岡19号,,,,,
5_2,X_1,とよのか,,,,,
63_2_3,女峰,宝交早生,,,,,
69_1320,florida 90,Tioga,,,,,
71_189,69_1320,Tioga,,,,,
77_36,huxley,Albriton,,,,,
7_3_1,さちのか,1_7_9,,,,,
8267_01,宝交早生,明宝,,,,,
83118_41,florida693,ひのみね,,,,,
8821_11,不明,不明,,,,情報を募集しています。野菜・茶業試験場久留米支場から導入されたとのこと,
8905_28,大鈴,アイベリー,,,,,
89_81_69,Albriton,Donner(ダナー),,,,,
89_96_61,はるよい,盛岡20号,,,,,
90_001,とよのか,アイベリー,,,,,
90_003,とよのか,宝交早生,,,,,
90_007,女峰,宝交早生,,,,,
90_008,女峰,宝交早生,,,,,
90_013,アイベリー,とよのか,,,,,
90_014,アイベリー,宝交早生,,,,,
90_017,宝交早生,とよのか,,,,,
90_021,宝交早生,女峰,,,,,
90_032,女峰,女峰,,,,,
90_051,とよのか,とよのか,,,,,
90_3_11,不明,不明,,,,,
91_003,90_003,90_003,,,,,
91_005,90_008,90_008,,,,,
91_006,90_013,90_013,,,,,
91_007,90_014,90_014,,,,,
91_008,90_017,90_017,,,,,
91_009,90_021,90_021,,,,,
92_0122,女峰,90_001,,,,,
92_3320,90_008,90_001,,,,,
92_46,久留米49号,さちのか,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12573&LANGUAGE=Japanese
92_5106,90_032,90_007,,,,,
92_7802,91_005,91_003,,,,,
92_8416,91_006,91_009,,,,,
92_9220,91_008,91_009,,,,,
92_9513,91_009,91_005,,,,,
93_10710,92_0122,91_007,,,,,
93_12306,92_3320,91_007,,,,,
93_12702,92_5106,91_007,,,,,
93_15615,92_7802,91_007,,,,,
93_16901,92_8416,91_007,,,,,
93_19101,92_9220,91_007,,,,,
93_20307,92_9513,91_007,,,,,
93_23_7,不明,不明,,,,,
94_2_15,90_3_11,章姫,,,,,
94_2_8,不明,不明,,,,"栃の峰、さちのかを素材しているとのこと(重野ら, 2015)",
9505_05,D8_04,8267_01,,,,,
95_08804,93_16901,93_15615,,,,,
95_10005,93_19101,93_12702,,,,,
95_12702,93_20307,93_123_06,,,,,
95_6_14,15,さがほのか,,,,,
96_00550,93_10710,93_19101,,,,,
96_01_001,とねほっぺ,とちおとめ,,,,,
96_02153,93_19101,93_10710,,,,,
96_15,みつる,章姫,,,,,
96_17_1,紅ほっぺ,炭強20,,,,,
96_4_1,紅ほっぺ,93_23_7,,,,,
9702_375,とねほっぺ,とちおとめ,,,,,
97_05606,95_10005,サンチーゴ,,,,,
97_12601,96_02153,サンチーゴ,,,,,
97_17901,96_02153,あかしゃのみつこ,,,,,
97_20402,95_08804,章姫,,,,,
97_21701,95_12702,章姫,,,,,
97_4_5,紅ほっぺ,94_2_15,,,,,
97_5_8,95_6_14,さがほのか,,,,,
97_9_1,95_6_14,佐系8号,,,,,
98_15504,97_17901,97_21701,,,,,
98_17123,97_20402,96_00550,,,,,
98_20_3,久留米54号,栃の峰,,,,,
98_28_2,不明,不明,,,,"とよのか、栃の峰、さちのかを素材しているとのこと(重野ら, 2015)。いちご中間母本農 1号、女
峰、 No.221を素材にしている(重野ら, 2015)との記述もあり、一貫しないため、不明とした。",
98_30,さちのか,栃の峰,,,,,
98_4_2,96_17_1,96_4_1,,,,,
98_7_3,不明,不明,,,,"情報を募集しています。栃の峰, とよのか, さちのか, とちおとめを素材に育成されたとのこと(鶴見ら, 2020; https://agriknowledge.affrc.go.jp/RN/2010935163)。",
99_02505,97_20402,97_12601,,,,,
99_03952,とちおとめ,97_05606,,,,,
99_26_7,さがほのか,KA16,,,,,
99_5_2,97_4_5,けいきわせ,,,,,
99_5_3,97_9_1,97_5_8,,,,,
99_8,女峰,宝交早生,,,,,
9_2_3,不明,不明,,,,,
A65,さちのか,D8_5,,,,,
A8,不明,さちのか×とちおとめ,,,,,
A8S4_147,A8,A8,,2017,香川県,A8の4回自殖系統,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25607&LANGUAGE=Japanese
Aberdeen×Redheart,aberdeen,Redheart,,,,,
Aiko,Cal 46.5_1,Cal 59.51_11,,,,,
Aiko実生系統,Aiko,Aiko,,,,,
Albion(UC Albion),Diamante,Cal 94.16_1,,2006,"University of California, University of California San Diego UCSD",,https://patents.google.com/patent/USPP16228P3/en
Albriton,US_NC_1065,US_NC_1053,,,,,
Armore,Blakemore,Aroma,,,,,
Aroma,Cumberland Triumph,不明,,,,,
Avant tout,不明,不明,,,,,
Banner,不明,不明,,,,1899年に生じた偶発実生。,
Belmont,不明,不明,,,,1880年に育成。,
Blakemore,Missionary,Howard 17(Premier),,,,,
Brightmore,Blakemore,US_Oreg. 154,,,,,
Brighton,Tufts,Cal 65.65_601,,,,,
British Queen,不明,不明,,,,1841年登録か。親系統に関する記述が見つからない。,
Bubach,不明,不明,,,,詳細不明,
Cal 103.22,Cal AO8,Nich Ohmer,,,,,
Cal 143.32,Narcissa,Cal BH 14(mixed crosses),,,,,
Cal 144.2,Narcissa,Nich Ohmer,,,,,
Cal 144.21,Narcissa,Nich Ohmer,,,,,
Cal 145.52,Cal BH 14(mixed crosses),Redheart,,,,,
Cal 161.1,Nich Ohmer,Cal 86.6,,,,,
Cal 177.19,U.S.D.A.543,Cal 68.24,,,,,
Cal 177.21,U.S.D.A.543,Cal 68.24,,,,,
Cal 21.9,Blakemore,Cal Z9,,,,,
Cal 222,Cal 66.2,Cal 7.20,,,,,
Cal 222.4,Cal 66.2,Cal 7.20,,,,,
Cal 249.5,Cal 68.24,Cal 32.50,,,,,
Cal 32.50,Nich Ohmer,U.S.D.A.253,,,,,
Cal 337.2,Nich Ohmer,Cal 68.25,,,,,
Cal 35.107_2,不明,不明,,,,"Blakemore, Nich Ohmer, Redheart, Ruby, B.H. 14, N.Y. 4626, U.S.D.A. 543, U.S.D.A. 634を祖先に含む。",
Cal 36.48_1,不明,不明,,,,"Blakemore, Nich Ohmer, Redheart, Ruby, B.H. 14, N.Y. 4626, U.S.D.A. 543, U.S.D.A. 634を祖先に含む。",
Cal 37.20_45,不明,不明,,,,親にDriscoll J-6があることは分かっているが、詳細が不明。,
Cal 370.14,Cal 720,Cal 177.21,,,,,
Cal 39.117_4,不明,不明,,,,cupertinoの姉妹であるらしい。,
Cal 39.82_19,不明,不明,,,,"祖先には次の系統が含まれているという: US 543, US 634, NY 634 Banner, Blakemore, Narcissa, Nich Ohmer",
Cal 39.96_18,Cal 35.107_2,Cal 36.48_1,,,,,
Cal 42.8_16,Sierra,Cal 752.23,,,,,
Cal 46.5_1,不明,不明,,,,情報を募集しています。,
Cal 469.5,Cal 177.21,Cal 222.4,,,,,
Cal 51s1_1,Lassen,Lassen,,,,,
Cal 52.16_15,Cal 39.117_4,Cal 39.96_18,,,,,
Cal 53.32.1,Shasta,"F. virginiana glauca (wild, Utah)",,,,,
Cal 54.124.2,Solana,Lassen実生系統,,,,,
Cal 564.7,Cal 144.2,Cal 68.25,,,,,
Cal 58.45_11,Cal 39.117_4,Cal 53.32.1,,,,,
Cal 59.41_14,Cal 53.10_2(complex hybrid),Cal 54.124.2,,,,,
Cal 63.7_101,Cal 39.82_19,Cal 46.5_1,,,,,
Cal 638.45,Cal 337.2,Cal 249.5,,,,,
Cal 64.57_108,Sequoia,Tioga,,,,,
Cal 65.65_601,Cal 58.45_11,Cal 59.41_14,,,,,
Cal 66.2,U.S.D.A.634,banner,,,,,
Cal 67.5,Nich Ohmer,U.S.D.A.634,,,,,
Cal 68.24,U.S.D.A.634,N.Y. 4626,,,,,
Cal 68.25,N.Y. 4626,U.S.D.A.634,,,,,
Cal 7.20,Blakemore,Nich Ohmer,,,,,
Cal 70.3_117,Tufts,Cal 65.65_601,,,,Brightonの姉妹であるとの情報を根拠とする。,
Cal 71.98_605,Tufts,Cal 63.7_101,,,,,
Cal 720,Blakemore,Nich Ohmer,,,,,
Cal 752.23,Cal 370.14,Cal 564.7,,,,,
Cal 86.6,U.S.D.A.634,Cal Z11,,,,,
Cal AO8,U.S.D.A.253,F2 of U.S.D.A.253,,,,,
Cal Z11,banner,Fendalcino,,,,,
Cal Z9,banner,Fendalcino,,,,,
Cambridge Favourite,Etter seedling×Avant tout,Blakemore,,,,,
Capt. Jack,不明,不明,,,,Wilson seedlingの提案有。,
Catskill,Marshall,Howard 17(Premier),,,,,
Chandler,Douglas,Cal 72.361_105,,1984,,,https://patents.google.com/patent/USPP5262P/en
Chesapeake,不明,不明,,,,1904年頃に育成,
Clark,不明,不明,,,,Wilson seedlingの提案有。,
Clyde,Cyclone,不明,,,,,
Comte de Paris,Keens Seedling,不明,,,,1846年育成。フランス。Keens Seedlingから選抜。,
Corvallis,E_121,Marshall,,,,,
Crescent,Hovey,New Jersey Scarlet,,,,,
Crimson Monarch,不明,不明,,,,,
Cruz,Cal 37.20_45,Sequoia,,,,,
Cumberland Triumph,Green Prolific,不明,,,,,
Cyclone,Crescent,Cumberland Triumph,,,,,
D8_04,Dover,83118_41,,,,,
D8_5,不明,不明,,,,,
D_40,Donner(ダナー),宝交早生,,,,,
Dabreak,Headliner,L_3_1169,,,,,
Diamante,Cal 87.112-6,Cal 88.270-1,,1998,"University of California, University of California San Diego UCSD",,https://patents.google.com/patent/USPP10435P/en
Dixieland,Tennessee Shipper,Midland,,,,,
Docteur Morere,palmyre,Duc de Malakoff,,,,1867年育成。フランス。,
Donner(ダナー),Cal 145.52,Cal 222,,,,UC Davis(アメリカ）育成。,
Donner×宝交早生,Donner(ダナー),宝交早生,,,,,
Douglas,Tufts,Cal 64.57_108,,,,,
Dover,florida belle,71_189,,,,,
Duc de Malakoff,chilean,British Queen,,,,1854年育成。フランス。母本のchileanは系統群の名称で、品種名ではないと思われる。,
Dunlap,Crescent,Cumberland Triumph,,,,,
E0836_12,章姫,B0205_1,,,,,
EB 18,MDUS 3082,Cal 65.65_601,,,,,
Earlidawn,Midland,Tennessee Shipper,,,,,
Etter seedling,不明,不明,,,,,
Etter seedling×Avant tout,Etter seedling,Avant tout,,,,,
Ettersburg 121,wild Alpine,Cape Mendocino beach strawberry,,,,"1905年に育成, 1913年に発表。",
Ettersburg 20,Rose Etterburg,Fragaria chiloensis,,,,,
Ettersburg 80,Seedling of Rose Etterburg×unknown,Ettersburg 20,,,,,
Ettersburg実生系統,ettersburg,ettersburg,,,,Ettersburgは系統群の名称で、具体的な系統名は分かりませんでした。情報を募集しています。,
Euresko,不明,Ettersburg 20,,,,"母本はCheasapeakeかRose Ettersburg, 父本はEttersburg 20ではないかという意見がある。",
Excelsior,Hoffman,Wilson,,,,"1890年に育成, 1892年に発表。",
F0851_24,章姫,C0915_18,,,,,
FL 74_6,FL 72_1198,FL 69_736,,,,,
FL 77_163,FL 73_1889,FL 73_2006,,,,,
FL 80_1425,FL 74_6,Aiko,,,,,
FL 80_456,FL 77_163,US 78_1832,,,,,
FL 81_149,FL 77_163,Aiko,,,,,
FL 81_2465,FL 70_30,FL 77_163,,,,,
FL 83_1452,FL 80_1425,不明,,,,Open Pollinated,
FL 83_418,FL 80_456,toro,,,,,
FL 84_1389,FL 81_2465,parker,,,,,
FL 84_3163,FL 81_149,不明,,,,Open Pollinated,
FL 87_200,FL 84_3163,FL 83_1452,,,,,
FL 87_418,FL 83_418,FL 84_1389,,,,,
FS_3,福羽,福羽,,,,自殖系統,
Fairfax,不明,不明,,,,"Darrowによって交配された品種。FairfaxはRoyal sovereigh×Howard 17の子という説があったものの，Darrowはこれを否定している（https://journal.americanpomological.org/index.php/jofaps/article/view/486/490）。彼は，Royal sovereighではなく, Etters Burg 450ではないかと推測している。Darrow(1966; https://archive.org/details/strawberryhistor00darr/page/n525/mode/1up, IV)",
Fairland,aberdeen,Fairfax,,,,,
Fairmore,Blakemore,Fairfax,,,,,
Fairpeake,Chesapeake,Fairfax,,,,,
Fendalcino,Fendall,Ettersburg 121,,,,,
Fendall,william belt,不明,,,,,
Florida 69_266,不明,不明,,,,情報を募集しています。,
Florida Ninety,Missionary,不明,,,,,
Fragaria chiloensis,不明,不明,,,,,
Fragaria chiloensis,不明,不明,,,,エクアドルのambato産とのこと,
Fragaria chiloensis,不明,不明,,,,,
Fragaria ovalis,不明,不明,,,,,
Fresno,Lassen,Cal 42.8_16,,,,,
General Chanzy,Joseph Riffaud,Madame Lebreton(Marguerite Lebreton),,,,"1889年にフランスから日本に導入された4つの品種のうちの1つ。もう一つはDocteur Morereであることがわかっている。(Darrow, 1966; https://archive.org/details/strawberryhistor00darr/page/n525/mode/1up; 6章, 18章）父本と母本を逆に記載している例もある。",
Goldsmith,Cal 638.45,Cal 469.5,,,,,
Goliath,British Queen,不明,,,,,
Green Prolific,Hovey,Goliath,,,,,
HKW_02,不明,不明,,,,,
HST,サマーベリー,とよのか,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=15259&LANGUAGE=Japanese
HST,サマーベリー,とよのか,,,,,
HS_1,はるのか,はるのか,,,,自殖系統,
HS_42号,Tribute,エバーベリー,,,,,
Haverland,Crescent,Sharpless,,,,,
Headliner,L_7_27,L_7_42,,,,,
Hoffman,Neunan,不明,,,,1877年育成。Neunanの実生で、父本は不明。,
Hovey,Methven Scarlet,Keens Seedling,,,,,
Howard 1,Howard 4,Clyde,,,,,
Howard 103,Crescent,Marshall,,,,,
Howard 17(Premier),Crescent,Howard 1,,,,,
Howard 4,Haverland,Belmont,,,,,
Howard Supereme,Howard 103,Howard 17(Premier),,,,,
Hudson Bay,不明,不明,,,,1828年以前。,
Jerseybelle,N.J. 953,N.J. 925,,,,,
Joseph Riffaud,不明,不明,,,,1862年に紹介された。来歴に関する情報は不明。,
KA16,さちのか,A65,,,,,
KD-S1,あまえくぼ,かおり野,,,,,
K_34,神戸1号,宝交早生,,,,,
Keens Imperial,white carolina,不明,,,,,
Keens Seedling,Keens Imperial,不明,,,,,
King of the Earlies,Vicomtesse Hericart de Thury,black prince,,,,1888年育成。英国。,
Klondike,Pickerproof,Hoffman,,,,,
Klonmore,Blakemore,Klondike,,,,,
Konvoy,Fairmore,Klondike,,,,,
L_0_242,L_7_42,L_117_1_45_3,,,,,
L_117_1_45_3,Marion Bell,Marion Bell,,,,,
L_3_1169,Klonmore,L_0_242,,,,,
L_6_30_45_7,Klonmore,Klonmore,,,,,
L_7_27,Suwannee,L_6_30_45_7,,,,,
L_7_42,Suwannee,Konvoy,,,,,
Lassen,Cal 21.9,Cal 161.1,,,,,
Lassen実生系統,Lassen,Lassen,,,,,
Lulu,Crescent,Hoffman,,,,,
Lupton,joe,gandy,,,,1905年に育成。,
MDUS 2713,redglow,Surecrop,,,,,
MDUS 3082,NCUS 1768,Surecrop,,,,,
MDUS 3364,Midland,sunrise,,,,,
MDUS 4258,MDUS 2713,MDUS 3364,,,,,
MN3,女峰×しずたから,女峰,,,,,
MS_1,サマーベリー,みよし,,,,,
Madame Lebreton(Marguerite Lebreton),Sir Harry,不明,,,,1895年に育成。父本は品種不明とのこと。フランスの品種。,
Madame Moutot,Docteur Morere,Royal Sovereign,,,,1906年育成。フランス,
Marguerite(America),jewell,jessie,,,,1893年育成。偶発実生とされる。Madame Lebreton(Marguerite Lebreton)とは別物。,
Marion Bell,Fairmore,Fairmore,,,,,
Marshall,不明,不明,,,,"片親はBubachまたはPresident Wilderではないかという意見がある。偶発実生との意見もある。1890年に生じ, 1893年に発表。",
Massey,U.S.D.A.634,Blakemore,,,,,
Md_US_1972,Blakemore,Md_US_683,,,,,
Md_US_683,scotland BK_46,Fairfax,,,,,
Merton Dawn,Cambridge Favourite,Merton Princess,,,,,
Merton Princess,Royal Sovereign,不明,,,,"seedling of Royal Sovereign (Darrow, 1966)とのことなので、父本ははっきりしない（自家受粉か他の花粉か）",
Methven Scarlet,Hudson Bay,不明,,,,,
Middlefield,不明,不明,,,,1890年に発表。,
Midland,Howard 17(Premier),Redheart,,,,,
Missionary,不明,不明,,,,1900年ごろに生じた偶発実生. 1906年に発表,
N.J. 72,Lupton,aberdeen,,,,,
N.J. 925,Pathfinder,Fairfax,,,,,
N.J. 953,N.J. 72,Fairfax,,,,,
N.Y. 4626,Marshall,Howard 17(Premier),,,,,
NCUS 1768,US 4127,Tennessee Beauty,,,,,
NS_4,サマーベリー,女峰,,,,,
Narcissa,Royal Sovereign,Howard 17(Premier),,,,,
Neunan,Wilson,不明,,,,1868年。アメリカ。Wilsonの実生とされる。,
New Jersey Scarlet,不明,不明,,,,1868年発表。アメリカ。Old Scarletと同一視する意見もある。バージニア系,
Nich Ohmer,Middlefield,不明,,,,,
Noble,Excelsior,Sharpless,,,,1884年育成。英国。,
Northwest,Brightmore,US_Oreg. 456,,,,,
Oreg. 46,Ettersburg 121,Marshall,,,,,
Oregon selection,Marshall,Fairfax,,,,,
Pajaro,Cal 63.7_101,Sequoia,,,,カルフォルニア大学育成,
Pajaro実生後代系統,Pajaro,Pajaro,,,,,
Pan American,Bubach,Van Deman,,,,Bismarck の変異とのこと,
Pathfinder,Howard 17(Premier),Fairfax,,,,,
Pickerproof,Lulu,Hoffman,,,,,
Pocahontas,Tennessee Shipper,Midland,,,,,
Portia,william belt,不明,,,,,
Princesse Royale,Keens Seedling,不明,,,,1846年育成。フランス。Keens Seedlingから選抜。,
Progressive,Pan American,Dunlap,,,,,
Redheart,Portia,Euresko,,,,,
Redstar,Chesapeake,Fairfax,,,,,
Robinson,Howard 17(Premier),Washington,,,,,
Rosa Linda,FL 87_418,FL 87_200,,1997,Florida Foundation Seed Producers Inc(United States),,USPP9866P(https://patents.google.com/patent/USPP9866P/en)
Rosalinda実生系統,Rosa Linda,Rosa Linda,,,,,
Rose Etterburg,3rd generation from Sharpless×Parry,不明,,,,,
Royal Sovereign,Noble,King of the Earlies,,,,1892年育成。英国。,
Seedling of Rose Etterburg×unknown,Rose Etterburg,不明,,,,,
Selva,Cal 70.3_117,Cal 71.98_605,,,,別名: CN18,
Selva実生系統,Selva,Selva,,,,,
Sequoia,Cal 52.16_15,Cal 51s1_1,,,,,
Serenata,不明,不明,,,,情報を募集しています。,
Sharpless,不明,不明,,,,"1872年育成, 1877年発表。Jucunda, Charles Downing, Wilson, Col. Cheneyの混合種子から育成され、正確な親は不明。",
Sharpless×Parry,Sharpless,parry,,,,,
Shasta,Cal 67.5,Cal 177.21,,,,,
Sierra,Nich Ohmer,Cal 177.21,,,,,
Siletz,US_Oreg. 2012,US_Oreg. 1816,,,,,
Sir Harry,Keens Seedling,British Queen,,,,1853年育成。イギリスで育成。,
Solana,Cal 177.19,Cal 103.22,,,,,
Southland,Ettersburg 80,Howard 17(Premier),,,,,
Sparkle,Fairfax,aberdeen,,,,,
Surecrop,Fairland,Md_US_1972,,,,,
Suwannee,Howard 17(Premier),Missionary,,,,,
T16,しずたから,麗紅,,,,,
T6,明宝,女峰,,,,,
Tahoe(タホー),Cal 144.21,Cal 143.32,,,,UC Davis(アメリカ）育成。,
Tennessee Beauty,Howard 17(Premier),Missionary,,,,,
Tennessee Shipper,Missionary,Blakemore,,,,,
The sun(ザサン),不明,不明,,,,情報を募集しています。,
Tioga,Cal 42.8_16,Lassen,,,,,
Torrey,Lassen,Cal 42.8_16,,,,,
Tribute,EB 18,MDUS 4258,,,,アメリカ合衆国で育成。,
Tristar,EB 18,MDUS 4258,,,,アメリカ合衆国で育成。,
Tufts,Cal 46.5_1,Tioga,,,,,
U.S.D.A.253,Howard Supereme,Klondike,,,,,
U.S.D.A.543,Royal Sovereign,Howard 17(Premier),,,,,
U.S.D.A.634,Royal Sovereign,Howard 17(Premier),,,,,
U.S.D.A.836,Progressive,Fragaria chiloensis,,,,,
US 4127,Fairpeake,Aberdeen×Redheart,,,,,
US 78_1832,Dover,LA 2556,,,,,
US_NC_1053,Massey,Massey,,,,,
US_NC_1065,Southland,Southland,,,,,
US_Oreg. 1491,US_Oreg. 767,Narcissa,,,,,
US_Oreg. 1509,US_Oreg. 305,US_Oreg. 812,,,,,
US_Oreg. 154,Ettersburg 121,Marshall,,,,,
US_Oreg. 1579,US_Oreg. 834,US_Oreg. 913,,,,,
US_Oreg. 1816,US_Oreg. 1579,US_Oreg. 319,,,,,
US_Oreg. 2012,US_Oreg. 1491,US_Oreg. 1509,,,,,
US_Oreg. 305,Clark,Narcissa,,,,,
US_Oreg. 319,Redheart,Oreg. 46,,,,,
US_Oreg. 456,US_Oreg. 7,Narcissa,,,,,
