品種名,母,父,不明親,登録年,登録者,メモ,出典
ふさの香,きはる,とちおとめ,,2003,千葉県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=11246&LANGUAGE=Japanese
べにあたご,とよのか,女峰×秀紅,,1999,茨城県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=7089&LANGUAGE=Japanese
ほほえみ家族,NS_4,MS_1,,2006,"造田芳博, 畑中克彦, 泰松眞知子(北海道・大阪府)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=14537&LANGUAGE=Japanese
ぽりっちご,08a05_07,さちのか,,2024,国立研究開発法人農業・食品産業技術総合研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30608&LANGUAGE=Japanese
まりひめ,章姫,さちのか,,2010,和歌山県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=19473&LANGUAGE=Japanese
みずのまる,サマーベリー実生系統×宝交早生,みよし,,2002,"尾方孝男, 尾方啓一, 亀井豊(徳島県)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12569&LANGUAGE=Japanese
みつる,不明,不明,,,,情報を募集しています。,
みやぎ13号,もういっこ,おおきみ,,,,品種登録出願中（2025年12月29日現在）,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM111.aspx?SHUTSUGAN_NO=36725&LANGUAGE=Japanese
みやぎVS1号,Pajaro,盛岡16号,,1998,宮城県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=6922&LANGUAGE=Japanese
みやざきなつはるか,01_23_4,スイートチャーミー,,2010,宮崎県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=19203&LANGUAGE=Japanese
みよし,媛育,大石四季成,,1987,徳島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1324&LANGUAGE=Japanese
みよし×サマーベリー,みよし,サマーベリー,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12574&LANGUAGE=Japanese
みよし×久留米48号,みよし,kurume48go,,,,,
みよし実生系統,みよし,みよし,,,,,
めぐみ,とよのか×アイベリー,とよのか,,2002,徳島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=10246&LANGUAGE=Japanese
もういっこ,MN3,さちのか,,2008,宮城県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=16154&LANGUAGE=Japanese
やよいひめ,96_01_001,とねほっぺ,,2005,群馬県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12576&LANGUAGE=Japanese
ゆきララ,福岡S6号(あまおう),けんたろう,,2020,地方独立行政法人北海道立総合研究機構(北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=28185&LANGUAGE=Japanese
ゆめのか,久留米55号,系531,,2007,愛知県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=15261&LANGUAGE=Japanese
よつぼし,三重母本1号,A8S4_147,,2017,"三重県 , 香川県, 国立研究開発法人農業・食品産業技術総合研究機構, 千葉県",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25605&LANGUAGE=Japanese
アイストロ,(リンダモール×Cruz)×女峰,麗紅,,2001,愛知県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=8947&LANGUAGE=Japanese
アイベリー,不明,不明,,,,情報を募集しています,
アイベリー実生系統,アイベリー,アイベリー,,,,,
アイベリー実生系統,アイベリー,アイベリー,,,,,
アスカウェイブ,52_1_32,50_2_2,,1994,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=4117&LANGUAGE=Japanese
アスカウェイブ実生系統,アスカウェイブ,アスカウェイブ,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12571&LANGUAGE=Japanese
アスカルビー,アスカウェイブ,女峰,,2000,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=7651&LANGUAGE=Japanese
アマテラス,鬼怒甘,とよのか,,2002,星野光輝(福岡県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=10245&LANGUAGE=Japanese
